id,latitude,longitude,accommodates,price,cleaning_fee,weekly_earnings
8685898,37.7854648,-122.4085031,2,$99.00 ,$25.00 ,390.80
9533017,37.78596965,-122.4155324,2,$59.00 ,$19.00 ,228.80
10355311,37.77805657,-122.416507,2,$120.00 ,$25.00 ,479.00
17714457,37.78624496,-122.4130455,2,$100.00 ,,420.00
17594994,37.78494966,-122.4198475,2,$88.00 ,$30.00 ,339.60
1624068,37.78775604,-122.4097853,4,$169.00 ,,709.80
8685570,37.78586348,-122.4080468,2,$110.00 ,$25.00 ,437.00
3105383,37.77975769,-122.4147701,4,$239.00 ,$78.00 ,925.80
10342010,37.78898893,-122.4107221,4,$800.00 ,,3360.00
15142505,37.78533431,-122.4148427,2,$150.00 ,$30.00 ,600.00
10702945,37.77906691,-122.4147963,1,$120.00 ,,504.00
12111957,37.78726449,-122.4095478,2,$110.00 ,$25.00 ,437.00
9275385,37.77799506,-122.4227099,4,$169.00 ,,709.80
16664561,37.78406104,-122.4166381,2,$100.00 ,,420.00
4902907,37.78575999,-122.4148914,2,$59.00 ,$19.00 ,228.80
1629740,37.78914611,-122.4096178,4,$169.00 ,,709.80
4638678,37.7868168,-122.4092466,2,$110.00 ,$25.00 ,437.00
10522671,37.78883521,-122.4114015,3,$99.00 ,$21.00 ,394.80
16533022,37.78303237,-122.4154104,2,$120.00 ,,504.00
6656023,37.78991943,-122.408328,2,$199.00 ,$72.00 ,763.80
1510980,37.78892231,-122.4092484,4,$269.00 ,,1129.80
4900829,37.78652735,-122.4138022,2,$120.00 ,,504.00
3712146,37.78004736,-122.4168977,2,$100.00 ,,420.00
5904304,37.78827423,-122.415058,2,$89.00 ,$40.00 ,333.80
8390615,37.78742576,-122.4215036,2,$100.00 ,,420.00
12652074,37.78576816,-122.4188006,2,$95.00 ,$100.00 ,299.00
16158244,37.78730412,-122.418523,2,$66.00 ,$30.00 ,247.20
16664636,37.78381194,-122.4166175,2,$100.00 ,,420.00
17419803,37.78866386,-122.4123188,2,$95.00 ,,399.00
5934599,37.78764397,-122.4170455,1,$100.00 ,,420.00
13978543,37.78950315,-122.4124901,6,$360.00 ,$50.00 ,1462.00
17794730,37.78529008,-122.4089847,2,$75.00 ,$25.00 ,290.00
17826075,37.78697396,-122.4090636,2,$75.00 ,$25.00 ,290.00
17794706,37.78646431,-122.4071509,2,$75.00 ,$25.00 ,290.00
10767861,37.77430721,-122.4216931,2,$130.00 ,$40.00 ,506.00
8524509,37.78801,-122.4193311,2,$90.00 ,$30.00 ,348.00
14961873,37.78322891,-122.4171417,2,$150.00 ,$30.00 ,600.00
9919519,37.77805341,-122.4213035,2,$140.00 ,,588.00
1281167,37.78729382,-122.4094366,4,$180.00 ,,756.00
3689632,37.78982336,-122.4111376,2,$250.00 ,$150.00 ,900.00
14027924,37.77903415,-122.4171394,2,$80.00 ,$65.00 ,271.00
9586291,37.78816247,-122.4164101,2,$115.00 ,$15.00 ,468.00
14552166,37.78700729,-122.4092411,2,$119.00 ,$25.00 ,474.80
11077219,37.78962238,-122.413076,4,$175.00 ,,735.00
7785565,37.78843441,-122.4128015,1,$60.00 ,,252.00
1772611,37.78478724,-122.4200108,2,$720.00 ,$120.00 ,2904.00
17419327,37.78713135,-122.4116986,2,$105.00 ,,441.00
5403210,37.78484809,-122.412703,4,$10.00 ,,42.00
12382342,37.78731092,-122.4142841,2,$160.00 ,$40.00 ,632.00
9908325,37.78573193,-122.4093508,1,$79.00 ,$25.00 ,306.80
16543792,37.78436805,-122.4153644,2,$120.00 ,,504.00
7024670,37.78935499,-122.408833,2,$395.00 ,$30.00 ,1629.00
12511225,37.78744937,-122.4092552,2,$110.00 ,$25.00 ,437.00
6762434,37.78718366,-122.4093882,2,$110.00 ,$25.00 ,437.00
3469254,37.78336444,-122.4209233,2,$150.00 ,$75.00 ,555.00
13021103,37.78912723,-122.4105967,2,$160.00 ,$25.00 ,647.00
16461727,37.77959524,-122.4231628,2,$109.00 ,,457.80
11497800,37.78872806,-122.413782,4,$239.00 ,,1003.80
7958349,37.78846489,-122.4095917,4,$180.00 ,,756.00
5173043,37.78876002,-122.4116199,4,$270.00 ,$50.00 ,1084.00
7958316,37.78769849,-122.4099117,4,$180.00 ,,756.00
8597259,37.78896614,-122.4141055,2,$125.00 ,$79.00 ,446.00
9645663,37.78189781,-122.4149473,1,$100.00 ,,420.00
11021886,37.7874295,-122.4093167,2,$500.00 ,,2100.00
11775546,37.78930059,-122.413044,4,$270.00 ,$50.00 ,1084.00
17624633,37.77780726,-122.4187492,4,$125.00 ,$50.00 ,475.00
14963288,37.78605371,-122.4095782,2,$110.00 ,$25.00 ,437.00
10104291,37.77854275,-122.4191774,3,$800.00 ,,3360.00
8089051,37.78845706,-122.4111698,4,$250.00 ,,1050.00
17483684,37.78265101,-122.419356,2,$98.00 ,$25.00 ,386.60
9531405,37.78785931,-122.4144569,2,$120.00 ,,504.00
